,Country,2018
0,Switzerland,69.31
1,Luxembourg,68.69
2,Norway,67.8
3,Slovenia,57.06
4,Iceland,56.97
5,France,55.0
6,Ireland,52.65
7,Italy,50.91
8,Netherlands,49.55
9,"Korea, Rep.",49.24
10,Austria,47.62
11,United Kingdom,46.87
12,Greece,46.82
13,Spain,45.92
14,Denmark,45.37
15,Portugal,43.77
16,Germany,40.78
17,Slovak Republic,36.02
18,Israel,35.51
19,Poland,35.41
20,Hungary,35.01
21,Belgium,33.65
22,Finland,33.53
23,New Zealand,33.16
24,Mexico,30.35
25,Czech Republic,30.07
26,Latvia,29.16
27,Sweden,29.03
28,Estonia,28.58
29,Japan,24.08
30,Turkey,23.61
31,Australia,20.36
32,Chile,16.88
